letter eng fre ger ita spa
a 0.0808783414208 0.079273025705 0.0568582875156 0.1060031229 0.118567414491
b 0.0149950113502 0.0092479604668 0.0192519980017 0.00919519581228 0.012695276417
c 0.0336029658098 0.0342575070419 0.029708356129 0.0433579460651 0.041907944126
d 0.0379933775582 0.0422686237749 0.055100382796 0.0397373974222 0.0568073474155
e 0.124356078548 0.159318020755 0.171682680247 0.120917565478 0.141614692623
f 0.0237416733255 0.0113065860952 0.0142226130909 0.0112867556637 0.00775281578278
g 0.0188408895246 0.00935384525938 0.0291633379749 0.0173940086624 0.0107247478907
h 0.0500154160339 0.00794796267702 0.0433463299748 0.00935158965745 0.00765374645203
i 0.0759370579447 0.074125468632 0.086132188668 0.11507204904 0.0635059635731
j 0.00164965470904 0.00326286353724 0.00216341245919 0.000282162069447 0.0041157233961
k 0.00567882113207 0.000659558715746 0.0124250996316 0.000399660011311 0.000328782735455
l 0.0410312996421 0.0573586586354 0.0367288351619 0.0616877719016 0.0607166586804
m 0.0253212637287 0.0258101565257 0.0245885948406 0.0268612465663 0.0254824077396
n 0.072304648957 0.0764937181942 0.103787476648 0.0728869438196 0.0691817071832
o 0.0761468415252 0.0595239565172 0.0290637090653 0.0906044293764 0.0883320353023
p 0.0214697245349 0.0294623507425 0.00876402098758 0.0276401642725 0.0258004813041
q 0.00122887673405 0.0105442071602 0.000377970342343 0.00487303230998 0.00905148564896
r 0.0630102949732 0.0643232512635 0.0704593427187 0.0646314937914 0.0672708654336
s 0.0652173871887 0.0859151648317 0.0660878501979 0.0532710870302 0.0764805377382
t 0.0919160242842 0.0703747299066 0.0600099773573 0.0662925198438 0.0461031344608
u 0.0275286512584 0.0646008560686 0.0407986194019 0.0303684795337 0.040217887286
v 0.0105671625339 0.0144851496214 0.00990369600532 0.0159794436523 0.00996526145819
w 0.0165338939469 0.000523606146355 0.0149539341852 0.000404743085526 0.00029734184325
x 0.002368584909 0.00519174358013 0.000762948680815 0.000544979257253 0.00190895688811
y 0.0166228996184 0.00322920037757 0.00150947910449 0.000533075566006 0.0101561916343
z 0.00104315880807 0.0011418277687 0.0121488588132 0.0104231372113 0.00336059249619
